id;kategoria;KTO;CO;TRIGGER;GDZIE;KIEDY
1025;POLITYKA;;otwarte rynki;tematami szczytu;Hamburg;
1026;POLITYKA;Stan Nowy Jork;sprzedaż pojazdów spalinowych;będzie wymagał zaprzestania;Nowy Jork;do 2035 r.
1027;BIZNES;Wizz Air;trzy nowości w locie;pojawią się;Wrocław;sierpień
1028;BIZNES;PwC;technologie;wynika z badania;Polska;
1029;POLITYKA;rząd Ciprasa;porozumienie;może osiągnie;Grecja;sobota
1030;BIZNES;Paweł Borys (PFR);optymizm gospodarczy;powiedział;Polska;2021 r.
1031;POLITYKA;Peter Altmaier;gaz z Rosji;oświadczył;Niemcy;
1032;BIZNES;Aszer Lewi;rezygnuje z funkcji;zrezygnował;Izrael;wtorek
1033;BIZNES;Japan Tobacco;100 mln dolarów w fabrykę;zainwestuje;Stary Gostków;ten rok
1034;BIZNES;Międzynarodowy Fundusz Walutowy;reakcję NBP;pozytywnie ocenił;Polska;
1035;BIZNES;federalne biuro statystyczne;średnią pensję;wynika z danych;Szwajcaria;czwartek
1036;BIZNES;KPMG i Am-Cham;wartość inwestycji USA;wynika z raportu;Polska;2017 r.
1037;BRAK_ZDARZENIA;;kamery i czytniki w bankomatach;;;
1038;BIZNES;PGNiG Obrót Detaliczny;ceny gazu;obniża;Polska;od 18 stycznia
1039;BIZNES;Volkswagen;spot reklamowy;usunął;Instagram;
1040;BIZNES;właściciele hoteli;wsparcie;apelują;Lesbos;
1041;BRAK_ZDARZENIA;Telewizja Polska;wzrost oglądalności;;Polska;
1042;POLITYKA;Wiesław Janczyk;nowa ustawa hazardowa;przekonywał;Polska;
1043;BIZNES;;mechanizmy ratujące miejsca pracy;zadziałały;Polska;
1044;BIZNES;Zbigniew Gryglas;morska energetyka wiatrowa;powiedział;Polska;
1045;POLITYKA;Ministerstwo Sprawiedliwości;projekt ustawy o odpowiedzialności podmiotów;przygotowało;Polska;
1046;POLITYKA;Aleksis Cipras;porozumienie;powiedział;Grecja;
1047;BIZNES;;tunel;ma prawie kilometr;Świnoujście;
1048;BIZNES;Ihar Laszenka;tranzyt ropy;przekazał o wznowieniu;Polska/Białoruś;piątek
1049;BIZNES;Bank Gospodarstwa Krajowego;gwarancje de minimis;przyznawane;Polska;w ciągu 3 lat
1050;POLITYKA;Daniel Obajtek;sprzedaż Lotosu;skomentował;Polska;
1051;BIZNES;LOT;polski rynek;postanowiły zawalczyć;Polska;
1052;POLITYKA;Japonia i Wielka Brytania;porozumienie o wolnym handlu;podpisały;Tokio;
1053;BIZNES;Polska i Japonia;reaktor jądrowy HTR;zamierzają wybudować;Polska/Japonia;w ciągu kilkunastu lat
1054;BIZNES;rząd;waloryzację emerytur;prognozuje;Polska;2017 r.
1055;POLITYKA;Tomasz Chróstny (UOKiK);apelację od wyroku;złożył;Polska;
1056;BIZNES;indeksy;zniżkują;;Europa;
1057;BIZNES;Carsmile;ceny nowych samochodów;wskazała;;
1058;BIZNES;Eurostat;godzina pracy;podał;Polska;ubiegły rok
1059;POLITYKA;Michał Kurtyka;budowa elektrowni jądrowej;ocenia;Polska;2026 r.
1060;BIZNES;Akcenta;eksport;uważają;Polska;zeszły rok
1061;PROTEST;mieszkańcy;otwarcia sklepów;trwają protesty;Włochy;drugi dzień świąt
1062;BIZNES;GUS;liczba turystów;wzrosła;Polska;I półrocze
1063;KATASTROFA;rosyjski ostrzał;sklep Leroy Merlin;zniszczono;Kijów;
1064;BIZNES;Barometr Imigracji Zarobkowej;pracownicy z Ukrainy;podaje;Polska;II półrocze 2018
1065;BIZNES;PLL LOT;Boeing 787-9 Dreamliner;odbiorą;Seattle;czwartek
1066;BRAK_ZDARZENIA;UE;wielkie projekty;lubi;;
1067;BIZNES;;spółka Nord Stream 2;nie będzie mogła powstać;;
1068;BIZNES;;przetasowanie rynku;doszło;;piątek
1069;BIZNES;CBOS;wprowadzenie euro;wynika z badania;Polska;
1070;BIZNES;Ford Motor Co;pojazdy;wycofuje;świat;
1071;BIZNES;Platforma Independent Enterprise;wypłaty;wstrzymała;Polska;
1072;BIZNES;Lotos;wydobycie ropy;ruszyło;Norweski Szelf;poniedziałek
1073;BIZNES;zagraniczni pracownicy;lukę w finansach ZUS;zaczęli wypełniać;Polska;
1074;BIZNES;Mateusz Morawiecki;dokapitalizowanie PGZ;podpisał umowę;Polska;
1075;BIZNES;właściciele sklepu;produkty ekologiczne;oferują;Warszawa;
1076;BIZNES;Minister Rodziny;wskaźnik waloryzacji;opublikowany;Polska;2022 r.
1077;BIZNES;PKP Cargo;zysk netto;wzrósł;Polska;pierwszy kwartał 2018
1078;BIZNES;Poczta Polska;wejście na giełdę;trafi;Polska;przyszły rok
1079;BIZNES;Jerzy Kwieciński (PGNiG);przelew od Gazpromu;oświadczył;Polska;środa
1080;BIZNES;;Stocznia Marynarki Wojennej;podpisana umowa;Gdynia;
1081;BIZNES;Remigiusz Nowakowski (Tauron);Tauron;mówił;Krynica;
1082;BIZNES;Agencja S&P;rating Polski;obniżając;Polska;
1083;BIZNES;mąż ze wspólnikiem;produkcja rowerów;przenieśli;Józefów;
1084;PROTEST;piloci British Airways;rejsy;skasowali;świat;27 września
1085;BIZNES;PGG;osłony socjalne;podała;Polska;
1086;BIZNES;Infopraca.pl;awans kobiet;informuje;Polska;
1087;BIZNES;Dziennik Gazeta Prawna;lotnisko w Modlinie;informuje;Modlin;
1088;BRAK_ZDARZENIA;;frankowicze;upłynie;;piątek
1089;BIZNES;;termin rejestracji mały ZUS;mija;Polska;dzisiaj
1090;POLITYKA;Mateusz Morawiecki;embargo na rosyjskie surowce;próbował przekonać;UE;
1091;BIZNES;Walt Disney Company;nazwy studiów;zmienia;świat;
1092;BIZNES;;ruch lotniczy;nie ustał;Europa;
1093;POLITYKA;Mikołaj Wild;rozmowy o CPK;powiedział;Pekin;
1094;BIZNES;S&P;wyniki finansowe PZU;uważają;świat;
1095;BIZNES;Sebastian Skuza;wzrost eksportu;poinformował;Polska;
1096;BIZNES;CPK;wykonawców dokumentacji;wyłoniła;Polska;
1097;BRAK_ZDARZENIA;;innowacyjność gospodarki;musi się stać;Polska;
1098;BIZNES;syndyk;upadła sieć;wyprzedał;;
1099;BIZNES;Rada Polityki Pieniężnej;stopy procentowe;zdecyduje;Polska;środa
1100;BIZNES;;fundusze na rolnictwo;przewiduje;Polska;po 2020 r.
1101;BIZNES;Amerykanie;promocję turystyczną;chcą rozpocząć;Polska;
1102;POLITYKA;;zamknięcie granic;spowodowała;UE;
1103;PRZESTEPSTWO;;optymalizacja podatkowa;zamiast 19 proc.;;
1104;PRZESTEPSTWO (aresztować);;statek Nowodwińsk;aresztowany;Szczecin;
1105;BIZNES;Mariusz Błaszczak;szpital modułowy;uruchomiony;Warszawa;
1106;BIZNES;;wydobycie gazu;będzie wyższe;Groningen;
1107;POLITYKA;Janusz Śniadek (PiS);projekt zakazu handlu;powiedział;Polska;
1108;PRZESTEPSTWO;rząd;przestępcami paliwowymi;chce walczyć;Polska;
1109;BIZNES;;Hongkong;najdroższe miasto;Hongkong;
1110;BRAK_ZDARZENIA;Nikołaj Storonski;synem dyrektora;jest;;
1111;BIZNES;koncern chemiczny;prace nad grafenem;wkracza do gry;Polska;
1112;BRAK_ZDARZENIA;złoty;sytuacja;wygląda;rynek międzynarodowy;
1113;BIZNES;Józef Węgrecki (Orlen);stacja tankowania wodorem;poinformował;Polska;marzec/kwiecień
1114;BIZNES;;sklepy;są otwarte;Polska;28 marca
1115;BIZNES;klienci;monety kolekcjonerskie;ustawiła się kolejka;Opole;
1116;BIZNES;;Wskaźnik Przyszłej Inflacji;wzrósł;;
1117;BIZNES;;droga ekspresowa i kolej;pozwolą dojechać;Warszawa-Lublin;
1118;BIZNES;PERN;projekt rurociągu;ogłosiła przetarg;Polska;
1119;BIZNES;PGNiG;dostawy gazu skroplonego;podpisało umowę;Polska;
1120;BIZNES;;fabryka Elona Muska (Tesla);wstrzymana;Niemcy;
1121;BIZNES;maklerzy;ceny ropy;spadają;Nowy Jork;
1122;POLITYKA;Anna Moskwa;członkostwo Ukrainy w MAE;powiedziała;Ukraina;
1123;BRAK_ZDARZENIA;złoty;sytuacja;wygląda;rynek międzynarodowy;
1124;POLITYKA;Marcin Horała;rząd PO-PSL;napisał;Polska;
1125;BRAK_ZDARZENIA;mec.;osoby zatrudnione;powiedział;Polska;
1126;BIZNES;;ceny opłat roamingowych;spadną;UE;przyszły rok
1127;POLITYKA;Grecja;nową propozycję;z nową propozycją;Grecja;
1128;BIZNES;PFR;przejęcie Polskich Kolei Linowych;sfinalizował;Polska;
1129;BRAK_ZDARZENIA;;informacje dotyczące ZUS-u;krążą;Polska;
1130;POLITYKA;rząd;urządzenia mobilne chińskich marek;rozważa rezygnację;Polska;
1131;BIZNES;Akademik Czerski (statek);właściciela;zmienił;Bałtyk;
1132;BIZNES;Port Północny;środki UE;dostanie;Gdańsk;
1133;BIZNES;spółka kolejowa;ładunków z Chin;liczy na zwiększenie;Białoruś;
1134;PRZESTEPSTWO;Marek Kubala;proces o odszkodowanie;ruszy;Polska;
1135;BIZNES;Eurostat;produkcja przemysłowa;podał;Polska;luty 2019
1136;POLITYKA;Thilo Sarrazin;waluty euro;uważa;Polska;
1137;POLITYKA;Donald Trump;cła na samochody;zagroził;USA/UE;
1138;BIZNES;Dawid Jackiewicz;członków rady nadzorczej Tauron;odwołanych;Polska;środa
1139;BIZNES;Łukasz Dominiak;certyfikat dla drobiu;skomentował;Singapur;piątek
1140;BIZNES;SKM;umowy z Pesą;odstąpiła;Warszawa;
1141;PRZESTEPSTWO;władze podatkowe USA;emerytur;zabierają;USA;
1142;BIZNES;PKN Orlen / Robert Kubica;sponsorowanie teamu;poinformowano;Trzebinia;2021 r.
1143;BIZNES;Kongres Innowacyjnej Gospodarki;siły;łączą;;
1144;BIZNES;Puls Biznesu;zatorów płatniczych;podaje;Polska;
1145;BIZNES;NET4GAZ;eksploatację gazociągu;poinformowała;Czechy;
1146;BRAK_ZDARZENIA;;blokada konta;jest legalna;Polska;
1147;PRZESTEPSTWO;UOKiK;karę na Engie Energy;poinformował;Polska;
1148;BIZNES;;samochodów Volkswagen;musi zniknąć;USA;
1149;BIZNES;klienci;Energetyczne Centrum;porzucili;Polska;
1150;BRAK_ZDARZENIA;;27 proc.;;;
1151;BIZNES;Allegro;kurs akcji;wzrósł;GPW;debiut
1152;BIZNES;Białoruś;remont ropociągu Przyjaźń;nie powinien wpłynąć;Białoruś;
1153;BIZNES;Marlena Maląg;60 mld zł dla przedsiębiorców;poinformowała;Polska;
1154;BIZNES;min. rolnictwa;system wsparcia rynku wieprzowiny;złożył wniosek;UE;
1155;PROTEST;Adam Szłapka;bojkot tankowania na Orlenie;napisał;Twitter;
1156;BIZNES;ministrowie finansów strefy euro;program pomocowy dla Grecji;podjęli decyzję;UE;
1157;POLITYKA;Dmytro Kułeba;rosyjskie aktywa;przekazał o prośbie;Niemcy;piątek
1158;BIZNES;Ministerstwo Finansów;loterię paragonową;ogłosiło przetarg;Polska;
1159;PRZESTEPSTWO (zatrzymać);Biomed Lublin;zawiadomienie o przestępstwie;zapowiedział złożenie;Polska;
1160;BIZNES;ElectroMobility Poland;fabryka Izera;poinformowała;Jaworzno;wtorek
1161;BIZNES;Polska;producent mebli;jest;UE;
1162;PRZESTEPSTWO (zatrzymać);UOKiK;karę 13,5 mln zł na Getin Bank;nałożył;Polska;poniedziałek
1163;POLITYKA;Marek Gróbarczyk;przekop Mierzei Wiślanej;powiedział;Polska;
1164;BIZNES;Ewa Sadowska-Cieślak;gospodarka;uważa;Polska;
1165;PRZESTEPSTWO;Ubezpieczeniowy Fundusz Gwarancyjny;93 tys. wezwań za brak OC;wystawił;Polska;trzy kwartały 2019
1166;BIZNES;Saudi Aramco;ropa arabska dla Lotosu;będzie podstawą;Polska;2023 r.
1167;POLITYKA;UOKiK;nowelizację ustawy o prawach konsumenta;uchwalono;Polska;1 grudnia
1168;BIZNES;mikro, małe i średnie firmy;spadki sprzedaży;zanotowało;Polska;
1169;BRAK_ZDARZENIA;;;;;
1170;KATASTROFA;globalne ocieplenie;wzrost kosztów i spadek wydajności;ostrzegają;świat;
1171;POLITYKA;rząd;abolicję nieruchomości;informuje o planach;Polska;
1172;POLITYKA;skarbówka;majątek dłużników;będzie mogła zajmować;Polska;
1173;BIZNES;indyjskie władze;gospodarkę;zmusiła do otwarcia;Indie;
1174;BIZNES;Cezary Kulesza;program wsparcia dla klubów;powiadomił;Polska;
1175;POLITYKA;UE;embargo na produkty z ropy;wchodzi w życie;UE;niedziela
1176;BIZNES;PGE Energia Ciepła;nieruchomość;podpisała umowę;Kielce;
1177;BRAK_ZDARZENIA;Polacy;śluby i decyzje o dziecku;przekładają i odkładają;Polska;
1178;BIZNES;analitycy;ceny paliw;oceniają (powrót poniżej 6 zł);Polska;piątek
1179;POLITYKA;Mateusz Morawiecki;rozbudowę sieci gazyfikacji;poinformował;Tychowo;piątek
1180;BRAK_ZDARZENIA;;;;;
1181;BIZNES;Daniel Obajtek;rafinerie i dostawy;zapewnił;Polska;
1182;BRAK_ZDARZENIA;branża ubezpieczeniowa;;posypała głowę popiołem;;
1183;BIZNES;firmy architektoniczne i muzyczne;kredyt na rozwój;informuje;Polska;
1184;POLITYKA;minister rolnictwa;pismo ws. wieprzowiny;wysyłam;Francja;
1185;BIZNES;;warunki inwestowania dla USA;jest zielone światło;Polska;
1186;BIZNES;rosyjskie statki;budowę Nord Stream 2;wznowiły;Rugia;
1187;PROTEST;Komitet Bojkot Rosja;kampanie bojkotu firm;przygotowuje;Polska;
1188;BIZNES;Panasonic;współpracę z Huawei;zawiesiła;Chiny;
1189;BRAK_ZDARZENIA;pokolenie;sukces;jest głodne;;
1190;POLITYKA;Andrzej Duda;wizyta w Chinach;w programie;Chiny;poniedziałek
1191;BIZNES;Energa;farmę wiatrową;uruchomiła;Polska;
1192;BIZNES;Kompania Węglowa;węgiel;zasypuje rynek;Polska;
1193;POLITYKA;rząd;VAT na paliwa i żywność;obniżył;Polska;
1194;BIZNES;CD Projekt RED;film z gry Cyberpunk 2077;zaprezentowało;Polska;poniedziałek
1195;BIZNES;branża meblarska;akcja promocyjna w USA;napisała;USA;przyszły rok
1196;BIZNES;PKN Orlen;analizy Ruchu;prowadzi;Polska;
1197;BIZNES;Związek Banków Polskich;reformy rynku obligacji;przedstawionych;Polska;
1198;BIZNES;PGNiG;pozew przeciwko Gazprom;złożyło;Polska;poniedziałek
1199;BIZNES;Port w Szanghaju;transport serów;nie przyjmuje;Szanghaj;od trzech tygodni
1200;BIZNES;Czechy;kontrole polskiego mięsa;mają znieść;Czechy;o północy
1201;POLITYKA;Krzysztof Tchórzewski;energetyka węglowa i atom;mówi;Polska;
1202;BIZNES;rząd Włoch;10 mld euro na skutki epidemii;poinformował;Włochy;wtorek
1203;BIZNES;GUS;PKB;podał;Polska;wtorek
1204;BIZNES;UOKiK;pomoc dla firm;wynika z raportu;Polska;2016 rok
1205;BIZNES;lotnisko w Modlinie;;przełomowy;Modlin;2018 rok
1206;BRAK_ZDARZENIA;studenci;znajomości;uważa;Polska;
1207;BIZNES;;wartość eksportu i importu;sięgnęła;;siedem miesięcy
1208;POLITYKA;Artur Soboń;własność gruntu pod domami;powiedział;Polska;1 stycznia 2019 r.
1209;POLITYKA;Marek Sawicki;wsparcie dla młodych rolników;poinformował;Bruksela;
1210;BIZNES;;spółki z obcym kapitałem;zarejestrowano;;pierwsza połowa br.
1211;POLITYKA;rząd;minimalną cenę alkoholu;popiera;Polska;
1212;BIZNES;Andrzej Duda;Nagrody Gospodarcze;wręczył;Polska;czwartek
1213;BIZNES;właściciele firm;znoszenie ograniczeń;myślą;Polska;
1214;BIZNES;Norges Bank;PGE na czarną listę;wpisał;Norwegia;
1215;BIZNES;Ministerstwo Finansów Rosji;przychody z ropy i gazu;wynika z danych (spadek);Rosja;
1216;POLITYKA;kraje i firmy;ustalenia ws. gazu;lekceważą;UE;
1217;POLITYKA;Piotr Müller;zamknięciem stacji paliw;nie pracuje nad;Polska;sobota
1218;BIZNES;GUS;PKB;poinformował;Polska;I kwartał 2018 r.
1219;BIZNES;;zatrudnienie;zwiększyło się;Polska;lipiec
1220;POLITYKA;Jacek Sasin;konsolidację sektora węgla;poinformował;Polska;
1221;BIZNES;;harmonogram budowy tunelu;jest;Świnoujście;
1222;BIZNES;Poczta Polska;strategia IT;wkrótce będzie gotowa;Polska;
1223;BIZNES;MFW;przestrogi przed Brexitem;odbiły się echem;Wielka Brytania;
1224;BIZNES;amerykańskie indeksy;wigilijną sesję;zakończyły spadkami;Nowy Jork;poniedziałek
1225;BRAK_ZDARZENIA;;błąd;powodem zamieszania;Warszawa;
1226;PRZESTEPSTWO (ukraść);hakerzy;80 mln USD;ukraść;Bangladesz;
1227;BIZNES;Norwegowie;paliwo;rekord;Norwegia;
1228;BIZNES;;40 Rosomaków;pojedzie;Bliski Wschód;
1229;BIZNES;międzynarodowy koncern;porozumienie z ubezpieczycielem;zawarł;Polska;
1230;BIZNES;PayEye;technologia płacenia tęczówką;może zawitać;Polska;
1231;POLITYKA;Nicolas Hulot;17 reaktorów jądrowych;może zamknąć;Francja;poniedziałek
1232;KATASTROFA;politycy;150 tysięcy krów;plan wybicia;Nowa Zelandia;
1233;BIZNES;;rozliczenie z fiskusem;można;Polska;od piątku do niedzieli
1234;BIZNES;Andrzej Kiński;umowy offsetowe Patriot;zoptymalizowane;Polska;
1235;BIZNES;Władysław Kosiniak-Kamysz;stopa bezrobocia;przedstawił;Polska;kwiecień
1236;BIZNES;ZG Janina;klatkę szybową;otrzymał;Libiąż;
1237;BIZNES;PLL LOT;osiemnaście rejsów;odwołały;Niemcy;piątek
1238;POLITYKA;Jacek Sasin;oferta odbudowy Ukrainy;powiedział;Ukraina;poniedziałek
1239;BIZNES;pandemia;6 mln miejsc pracy;wpłynęła na likwidację;UE;pierwsza fala
1240;BIZNES;RPP;stopy procentowe;nie zmieniła;Polska;środa
1241;BIZNES;Mateusz Morawiecki;projekty greenfield;powiedział;Berlin;środa
1242;BIZNES;;gospodarka;była większa;Polska;trzeci kwartał
1243;POLITYKA;Iwona Sulik;Janusz Lewandowski szefem Rady;poinformowała;Polska;
1244;POLITYKA;Biały Dom;cła na Airbusy;zapowiedział podwyższenie;USA;18 marca
1245;POLITYKA;Ateny;plan naprawczy;nie przygotowały;Grecja;
1246;BIZNES;Urszula Woźniakowska;firma My Sweet Revenge;mówi;Polska;
1247;POLITYKA;600 firm;oferty budowy muru;złożyło;USA;
1248;BIZNES;sieci handlowe;godziny pracy;wydłużają;Polska;
1249;BIZNES;John Matze;groźby technologiczne;ujawnił;USA;
1250;BRAK_ZDARZENIA;urząd skarbowy;konto firmy;zająć;Polska;
1251;BIZNES;Mateusz Morawiecki;nowy terminal;ogłoszenie wyników;Gdańsk;poniedziałek
1252;BRAK_ZDARZENIA;embargo;szansa;może okazać się;Polska;
1253;BIZNES;Sue Shaw;zyski firm energetycznych;przekonuje;Irlandia;
1254;POLITYKA;Komisja Europejska;zmiany w Nord Stream 2;przygotowuje;Bruksela;
1255;BRAK_ZDARZENIA;deweloperzy;zyski;liczą;;
1256;BIZNES;Komisja Europejska;przejęcie Normbenz i aktywów MOL;zatwierdziła;Węgry;
1257;POLITYKA;Anna Zalewska;ekran filtracyjny;odpowiedziała;Turów;
1258;BIZNES;GDDKiA;terminy ofert S61;przesunęła;Białystok;październik
1259;BIZNES;Puls Biznesu;rynek elementów złącznych;informuje;Polska;
1260;POLITYKA;Ryszard Petru;wyjście Grecji z euro;powiedział;Polska;
1261;POLITYKA;Copa-Cogeca;likwidacji chowu klatkowego;nie popierają;UE;
1262;BIZNES;;placówek bankowych;jest coraz mniej;;
1263;BIZNES;Andrzej Kensbok;polskie fabryki broni;ocenił;Polska;czwartek
1264;BIZNES;Tencent;wartość;stracił;Chiny;
1265;POLITYKA;władze Kuby;prywatne firmy;zdecydowały o umożliwieniu;Kuba;
1266;POLITYKA;Niemcy;euro;sugerują;Niemcy;
1267;BIZNES;PGNiG;kontrakt na gaz;podpisało;Polska;
1268;BIZNES;;320 mieszkań Mieszkanie Plus;ruszyła budowa;Toruń;
1269;BIZNES;Rafał Milczarski;wyniki operacyjne LOT;powiedział;Polska;
1270;BIZNES;Łukasz Greinke;wzrost przeładunków;powiedział;Gdańsk;
1271;BIZNES;Krajowa Izba Producentów Drobiu;straty 675 mln zł;szacuje;Polska;siedem miesięcy
1272;BIZNES;Elon Musk;10 proc. miejsc pracy;musi zlikwidować;USA;
1273;BIZNES;Puls Biznesu;rachunkach oszczędnościowych;pisze;Polska;
1274;BIZNES;Bank Millennium;akcje Euro Banku;podpisał umowę;Polska;
1275;BIZNES;;polski przemysł odzieżowy;kwitnie;Polska;
1276;BIZNES;GUS;stopa bezrobocia;poinformował;Polska;czerwiec
1277;BIZNES;inwestorzy;bankami Czarneckiego;due diligence;Polska;po Nowym Roku
1278;BIZNES;;100 tys. kremacji;wykonuje się;Polska;rocznie
1279;BRAK_ZDARZENIA;;80 proc.;;;
1280;POLITYKA;Niemcy;warunek ukraiński ws. Nord Stream 2;postawiły;Rosja;
1281;BRAK_ZDARZENIA;Nicolas Maduro;gospodarka Wenezueli;rozpaczliwy stan;Wenezuela;
1282;BIZNES;Ministerstwo Finansów;IP Boksem;kończy pracę;Polska;
1283;BIZNES;Rolls-Royce;produkcję silników;musiał wstrzymać;Wielka Brytania;
1284;POLITYKA;Ateny i wierzyciele;plan reform;nie mogą się dogadać;Grecja;
1285;POLITYKA;Sejm;Jacek Oko na prezesa UKE;powołał;Polska;
1286;POLITYKA;Jacek Sasin;decyzji o wypowiadaniu umów;oczekuje wycofania;Polska;wtorek
1287;BRAK_ZDARZENIA;Instytut Randstad;nastroje pracowników;wynika z badań;Polska;
1288;POLITYKA;Komisja Europejska;wyrok sądu ws. gazociągu;poinformowała;Duesseldorf;
1289;BIZNES;;gaz w hubie TTF;zdrożał;Holandia;
1290;PRZESTEPSTWO (zatrzymać);władze Indii;produkty Maggi;nakazały wycofanie;Indie;
1291;PROTEST;związkowcy MZA;akcję protestacyjną;zapowiedzieli;Polska;od poniedziałka
1292;BRAK_ZDARZENIA;Chińczycy;ambitny plan;mają;Chiny;
1293;BIZNES;Rafał Sadoch;złoty;mówi o stabilizacji;Polska;
1294;BRAK_ZDARZENIA;;polska sieć kolejowa;może być lepsza;Polska;
1295;BIZNES;Owen Tudor;4 mln miejsc pracy;ocenił utratę;Wielka Brytania;
1296;BIZNES;sprzedawcy;choinki;opuścić ceny;Polska;
1297;BIZNES;eksperci;patentową aktywność;liczą;Polska;
1298;PROTEST;związkowcy;strajk;zostaje zawieszony;Polska;środa
1299;PRZESTEPSTWO;UOKiK;pięć kancelarii odszkodowawczych;prowadzi postępowania;Polska;wtorek
1300;BIZNES;Mercedes-Benz;fabrykę aut elektrycznych;chce zainwestować;Jawor;
1301;BIZNES;;PKB;wyniósł;Polska;czwarty kwartał
1302;BIZNES;Fundusz Odbudowy;inwestycje;pomoże realizować;Polska;
1303;BRAK_ZDARZENIA;Grzegorz Juszczyk;przerwy na papierosa;akcentował;Krynica-Zdrój;
1304;BIZNES;władze Rzymu;wysyłanie odpadów;będzie kosztowało;Austria;
1305;POLITYKA;Krzysztof Ardanowski;znakowanie ziemniaków;podpisał rozporządzenie;Polska;
1306;BIZNES;ONS;liczba pracowników z UE;poinformował o spadku;Wielka Brytania;ostatni rok
1307;BIZNES;ZUS;70 tys. ojców;poinformował o zasiłku;Polska;styczeń-maj
1308;BIZNES;GUS;PKB;wynika z szacunku;Polska;II kwartał 2021 r.
1309;BIZNES;;cena złota;przebiła 1,8 tys. dolarów;świat;
1310;BRAK_ZDARZENIA;;nowalijki;są;Polska;
1311;PROTEST;związkowcy PGG;rozmowy płacowe;podpisaniem protokołu rozbieżności;Polska;piątek
1312;POLITYKA;Zbigniew Ziobro;rozporządzenie o sankcjach;podkreślił;UE;
1313;POLITYKA;Marek Chodkiewicz;ekspertyzę lotnisk;powiedział;Polska;
1314;BIZNES;;liczba niewypłacalnych firm;wzrosła;Polska;I kwartał 2017 r.
1315;BIZNES;fundacja;morskie farmy wiatrowe;zabiega;Polska;
1316;BIZNES;Szczecińska Energetyka Cieplna;dziesięć polskich ciepłowni;kupiła;Polska;
1317;BIZNES;Puls Biznesu;inwestycje w węgiel;ocenia zmianę;Polska;
1318;BRAK_ZDARZENIA;;patriotyzm gospodarczy;wyróżnienie osób;;
1319;BRAK_ZDARZENIA;;program Antykryzys;;;
1320;BIZNES;Poczta Polska;usługi online;można zgłaszać;Polska;
1321;BIZNES;hotele i restauracje;rezerwacje;odnotowują odwołania;Paryż;po zamachach
1322;BIZNES;BIK;liczba osób o kredyt;podało;Polska;kwiecień
1323;BIZNES;Przewozy Regionalne;platformę Podróż bez barier;zaprezentowały;Gdańsk;piątek
1324;POLITYKA;Komisja Europejska;projekt podatku VAT;przedstawiła;UE;
1325;BRAK_ZDARZENIA;;auto z silnikiem V12;będzie kosztował;;
1326;BIZNES;niemieccy kierowcy;niższa akcyza;spodobała się;Polska;
1327;PROTEST;związkowcy LOT;strajk;zostaje zawieszony;Polska;sobota
1328;PROTEST;związek Cockpit;negocjacje z Lufthansą;fiaskiem zakończyła się;Niemcy;piątek
1329;BIZNES;Mateusz Morawiecki;gala Firma 100-lecia;powiedział;Polska;
1330;BRAK_ZDARZENIA;;500 Plus dla emerytów;nie są opodatkowane;Polska;
1331;PRZESTEPSTWO;Tomasz Chróstny;nieuczciwe praktyki GetBack;uznał;Polska;
1332;BIZNES;Bloomberg;Polska;plasuje się na drugim miejscu;świat;
1333;BIZNES;;emisje CO2;spadły;Polska;2019 r.
1334;BIZNES;Andrzej Adamczyk;budowę odcinka S7;zapowiedział umowę;Małopolska;ten rok
1335;BIZNES;PLL LOT;połączenia do Sri Lanki;inaugurują;Sri Lanka;
1336;BIZNES;;rynek nieruchomości;ożywienie;Polska;
1337;POLITYKA;Paweł Niemczuk;zalecenia ws. uboju bydła;poinformował;Polska;
1338;BRAK_ZDARZENIA;internauta;członków zarządu banku;odpowiedział;;
1339;BIZNES;samorządy;autobusy na prąd;szykują inwestycje;Polska;przyszły rok
1340;BIZNES;;subwencje Tarczy Finansowej;otrzymało;Polska;
1341;BIZNES;Polski Instytut Ekonomiczny;pozycja Niemiec w handlu;wskazał;Niemcy;
1342;BIZNES;;ceny lokali;wzrosły;Polska;IV kwartał 2021 r.
1343;POLITYKA;Bogdan Pęk;plany sprzedaży Lotosu;powiedział;Polska;poniedziałek
1344;BIZNES;Rafał Trzaskowski;130 autobusów zeroemisyjnych;podpisał umowę;Warszawa;
1345;BRAK_ZDARZENIA;złoty;sytuacja;wygląda;rynek międzynarodowy;
1346;BIZNES;kurs rubla;poziom do dolara;osiągnął;Moskwa;poniedziałek
1347;POLITYKA;Trybunał Konstytucyjny;zmiana ws. OFE;została rozpatrzona;Polska;
1348;BRAK_ZDARZENIA;;;;;31 sierpnia 2018 r.
1349;POLITYKA;Donieck;ruble;wprowadzono;Ukraina;
1350;BIZNES;Rossmann;podatek CIT;zapłacił;Polska;od 1993 r.
1351;BIZNES;;kanał żeglugowy;otwarty zostanie;Mierzeja Wiślana;17 września
1352;BRAK_ZDARZENIA;;analiza sytuacji i język angielski;wymagania;;
1353;BIZNES;osoby na własny rachunek;liczba (1,33 mln);przybywa;Polska;
1354;BIZNES;MFW;pomoc i redukcja długu;wynika z raportu;Grecja;wtorek
1355;BIZNES;ZUS;emerytury z wyrównaniem;rozpoczął wypłatę;Polska;od czerwca
1356;BIZNES;polscy eksporterzy;konkurencja ceną;informuje;Polska;
1357;BIZNES;ZUS;odroczenie terminu płatności;można złożyć wniosek;Polska;
